sp,group,hub,matID,veg_wt_g,fl_nbr,viable_seed_ct,notes
californica,E,2,1,0.034,3,193,
californica,E,2,2,0.022,2,59,
californica,E,2,3,0.016,2,52,
californica,E,2,4,0.011,1,65,
californica,E,2,5,0.094,6,395,
californica,E,2,6,0.024,3,105,
californica,,3,1,,,,mixed up with cal H3M2
californica,,3,2,,,,mixed up with cal H3M1
californica,,3,3,0.013,2,64,
californica,,3,4,0.014,1,54,"""collected too early?"" written on envelope."
californica,,3,5,0.003,1,61,
californica,,3,6,0.03,2,96,
californica,B,4,1,0.014,1,60,
californica,B,4,2,0.021,2,88,
californica,B,4,3,0.024,2,72,
californica,B,4,4,0.02,1,92,
californica,B,4,5,0.05,3,146,
californica,B,4,6,0.041,3,240,
californica,D,5,1,0.032,3,214,
californica,D,5,2,0.087,6,251,
californica,D,5,3,0.08,6,287,
californica,D,5,4,0.018,2,99,
californica,D,5,5,0.053,2,146,
californica,D,5,6,0.02,1,118,
californica,C,6,1,0.037,3,156,
californica,C,6,2,0.069,5,267,
californica,C,6,3,0.017,1,97,
californica,C,6,4,0.063,2,177,
californica,C,6,5,0.041,2,194,
californica,C,6,6,0.02,2,27,
californica,,7,1,0.08,4,275,
californica,,7,2,0.088,3,240,
californica,,7,3,0.046,2,215,
californica,,7,4,0.023,2,127,
californica,,7,5,0.025,2,150,
californica,,7,6,0.011,1,43,
californica,G,9,1,0.05,3,235,
californica,G,9,2,0.034,2,180,
californica,G,9,3,0.043,2,107,
californica,G,9,4,0.068,4,384,Might be missing a branch with one flower; this branch was excluded from veg biomass and flower and seed count
californica,G,9,5,0.027,1,142,
californica,G,9,6,0.011,1,78,
californica,A,11,1,0.034,2,100,
californica,A,11,2,0.031,2,70,
californica,A,11,3,0.068,6,333,
californica,A,11,4,0.082,6,186,
californica,A,11,5,0.084,5,361,
californica,A,11,6,0.049,2,114,
californica,F,12,1,0.01,1,81,
californica,F,12,2,0.031,5,150,
californica,F,12,3,0.019,2,97,
californica,F,12,4,0.015,1,55,1 flower missing? Could be two full flowers.
californica,F,12,5,0.045,4,202,
californica,F,12,6,0.009,2,81,
californica,H,13,1,0.039,3,175,
californica,H,13,2,0.074,4,435,
californica,H,13,3,0.015,1,71,
californica,H,13,4,0.022,1,115,
californica,H,13,5,0.047,2,133,
californica,H,13,6,0.01,2,62,
fremontii,D,1,1,0.102,1,323,
fremontii,D,1,2,0.057,2,317,
fremontii,D,1,3,0.028,1,190,
fremontii,D,1,4,0.023,1,137,
fremontii,D,1,5,0.023,1,129,
fremontii,D,1,6,0.028,2,134,
fremontii,A,3,1,0.047,4,217,
fremontii,A,3,2,0.413,14,1603,
fremontii,A,3,3,0.321,15,1812,
fremontii,A,3,4,0.124,6,624,
fremontii,A,3,5,0.154,9,593,
fremontii,A,3,6,0.842,24,518,
fremontii,H,4,1,0.024,2,187,
fremontii,H,4,2,0.033,2,166,
fremontii,H,4,3,0.025,1,142,
fremontii,H,4,4,0.167,6,911,
fremontii,H,4,5,0.051,2,155,
fremontii,H,4,6,0.023,1,176,
fremontii,E,5,1,0.042,3,102,
fremontii,E,5,2,0.041,1,206,
fremontii,E,5,3,0.186,8,909,
fremontii,E,5,4,0.043,3,285,
fremontii,E,5,5,0.039,3,267,
fremontii,E,5,6,0.395,14,2238,
fremontii,,8,1,0.015,1,118,
fremontii,,8,2,0.027,1,197,
