group,sp,hub,mayID,matTag,trans,dist,trt,tag,side,loc,status,date_processed,initials,ic,iw,vs,is,ih,bh,vw,notes_trait
A,glab,10,1,1952,T1,0.5,C,1001,R,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T1,0.5,C,1001,R,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T1,0.5,C,1001,R,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T1,0.5,C,1001,R,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T1,0.5,NR,1002,L,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T1,0.5,NR,1002,L,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T1,0.5,NR,1002,L,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T1,0.5,NR,1002,L,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,home,0,NR,1003,R,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,home,0,NR,1003,R,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,home,0,NR,1003,R,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,home,0,NR,1003,R,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T1,2,C,1004,R,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T1,2,C,1004,R,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T1,2,C,1004,R,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T1,2,C,1004,R,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T1,2,NR,1005,L,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T1,2,NR,1005,L,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T1,2,NR,1005,L,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T1,2,NR,1005,L,loc4,1,20180813,mfo,NA,NA,NA,NA,NA,NA,NA,collection missing
A,glab,10,1,1952,T2,0.5,NR,1006,R,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T2,0.5,NR,1006,R,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T2,0.5,NR,1006,R,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T2,0.5,NR,1006,R,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T2,0.5,C,1007,L,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T2,0.5,C,1007,L,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T2,0.5,C,1007,L,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T2,0.5,C,1007,L,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T2,1,NR,1008,R,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T2,1,NR,1008,R,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T2,1,NR,1008,R,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T2,1,NR,1008,R,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T2,1,C,1009,L,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T2,1,C,1009,L,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T2,1,C,1009,L,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T2,1,C,1009,L,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,1,1952,T2,2,C,1010,R,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
