group,sp,id,Mtag,tran,dist,trt,side,tag,loc,status,date_processed,initials,ic,iw,vs,is,ih,bh,vw,notes_trait
A,cal,1,135,home,0,C,L,1430,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,home,0,C,L,1430,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,home,0,C,L,1430,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,home,0,C,L,1430,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,home,0,NR,R,1429,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,home,0,NR,R,1429,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,home,0,NR,R,1429,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,home,0,NR,R,1429,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,T1,0.5,NR,L,1443,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,T1,0.5,NR,L,1443,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,T1,0.5,NR,L,1443,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,T1,0.5,NR,L,1443,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,T1,0.5,C,R,1444,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,T1,0.5,C,R,1444,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,T1,0.5,C,R,1444,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,T1,0.5,C,R,1444,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,T1,1,NR,L,1446,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,T1,1,NR,L,1446,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,T1,1,NR,L,1446,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,T1,1,NR,L,1446,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,T1,1,C,R,1445,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,T1,1,C,R,1445,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,T1,1,C,R,1445,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,T1,1,C,R,1445,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,T1,2,NR,L,1447,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,T1,2,NR,L,1447,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,T1,2,NR,L,1447,loc3,1,20190605,PMH,1,11.03,72,10,18,NA,13.14,
A,cal,1,135,T1,2,NR,L,1447,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,T1,2,C,R,1448,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,T1,2,C,R,1448,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,T1,2,C,R,1448,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,T1,2,C,R,1448,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,T2,0.5,NR,L,1449,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,T2,0.5,NR,L,1449,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,1,135,T2,0.5,NR,L,1449,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
