group,sp,year,mom,ic,iw,vs,is,ih,num.bh,bh1,bh2,bh3,bh4,bh5,bh6,vw,notes
A,CAL,2020,1,2,15.16,44,52,14.2,,,,,,,,0.01,
A,CAL,2020,2,1,10.82,85,9,10.2,,,,,,,,0.009,
A,CAL,2020,3,1,22.11,92,109,19,,,,,,,,0.033,
A,CAL,2020,4,1,13.16,51,20,16.8,,,,,,,,0.018,
A,CAL,2020,5,2,35.96,125,135,14.7,,,,,,,,0.05,
A,CAL,2020,6,2,19.96,86,95,14.9,,,,,,,,0.018,
A,FRE,2020,1,4,42.91,296,53,15.5,,,,,,,,0.031,
A,FRE,2020,2,1,8.01,82,15,10.1,,,,,,,,0.006,
A,FRE,2020,3,1,14.49,139,20,11.5,,,,,,,,0.015,.75m away
A,FRE,2020,4,2,10.89,133,7,9.35,,,,,,,,0.008,
A,FRE,2020,5,1,12.98,20,101,13.6,,,,,,,,0.012,
A,FRE,2020,6,1,16.08,133,7,10,,,,,,,,0.016,
A,GLA,2020,1,1,1.24,9,6,,,,,,,,,,
A,GLA,2020,2,1,0.8,0,0,,,,,,,,,,"no seeds, crispy glab, lots of fremontii"
A,GLA,2020,3,1,0.02,0,0,,,,,,,,,,"tiny, mostly fremontii"
A,GLA,2020,4,1,0.77,0,11,,,,,,,,,,tiny
A,GLA,2020,5,1,0.28,0,0,,,,,,,,,,"tiny, crisp, no seed"
A,GLA,2020,6,1,0.35,1,4,,,,,,,,,,"tiny, a couple seeds"
B,CAL,2020,1,2,16.55,83,27,9.4,,,,,,,,0.011,
B,CAL,2020,2,3,22.56,89,65,12.2,,,,,,,,0.009,
B,CAL,2020,3,2,19.09,86,33,12.7,,,,,,,,0.016,
B,CAL,2020,4,1,5.51,16,23,,,,,,,,,,
B,CAL,2020,5,1,3.47,16,18,12.1,,,,,,,,0.003,
B,CAL,2020,6,2,15.39,84,34,14.9,,,,,,,,0.02,
B,FRE,2020,1,1,9.86,79,2,11.2,,,,,,,,0.015,
B,FRE,2020,2,4,20.97,58,87,12.1,,,,,,,,0.034,
B,FRE,2020,3,1,10.23,46,17,13.5,,,,,,,,0.015,
B,FRE,2020,4,1,9.66,41,51,16.7,,,,,,,,0.014,
B,FRE,2020,5,1,8.62,84,10,16.1,,,,,,,,0.017,
B,FRE,2020,6,1,4.99,39,7,12.5,,,,,,,,0.008,
B,GLA,2020,1,2,1.63,2,4,,,,,,,,,,
B,GLA,2020,2,2,7.95,29,2,13.5,,,,,,,,0.008,
B,GLA,2020,3,1,3.56,7,3,,,,,,,,,,
