group,sp,id,tran,dist,trt,side,loc,date_processed,initials,ic,iw,vs,is,ih,bh,vw,notes_trait
A,cal,1,T1,1,NR,L,L3,05.05.2022,EHS,0,0,0,0,0,0,0,
A,cal,1,T1,2,NR,L,L2,05.05.2022,EHS,0,0,0,0,11.8 cm,0,0.012 g,
A,cal,2,home,0,NR,R,L1,06.03.2022,EGN,0,0,0,0,1.1 cm,0,0.839 mg,vw - used microscale
A,cal,3,home,0,NR,R,L4,06.03.2022,EGN,1,13.842 mg,35,58,12.9 cm,0,0.019 g,
A,cal,4,T2,2,NR,R,L2,05.05.2022,EHS,1,0.880 mg,0,7,2.9 cm,0,1.197 mg,vw - used microscale
A,cal,5,T2,0.5,C,L,L2,06.03.2022,EGN,0,0,0,0,6.7 cm,0,0.005 g,
A,fre,1,T1,1,NR,L,L4,06.03.2022,EGN,0,0,0,0,3.9 cm,0,1.262 mg,vw - used microscale
A,fre,1,T1,2,NR,L,L3,06.03.2022,EGN,0,0,0,0,0.9 cm,0,0.180 mg,vw - used microscale
A,fre,3,T1,1,NR,R,L4,05.05.2022,EGN,0,0,0,0,1.3 cm,0,0.468 mg,vw - used microscale
A,fre,3,T2,2,NR,L,L3,05.05.2022,EGN,0,0,0,0,1.4 cm,0,0.179 mg,vw - used microscale
A,fre,4,T1,1,NR,L,L1,05.05.2022,EGN,1,2.711 mg,3,13,3.5 cm,0,3.331 mg,vw - used microscale
A,fre,4,T1,1,NR,R,L3,05.05.2022,EHS,1,4.704 mg,5,32,3.4 cm,0,0.008 g,
A,fre,4,T1,2,C,R,L1,06.03.2022,EGN,1,2.680 mg,14,10,3.3 cm,0,0.002 g,
A,fre,5,T2,0.5,NR,L,L1,05.05.2022,EGN,1,0.340 mg,0,1,2.8 cm,0,0.769 mg,vw - used microscale
B,cal,3,T1,0.5,C,L,L1,06.03.2022,EGN,0,0,0,0,4.1 cm,0,2.296 mg,vw - used microscale
B,cal,3,T2,0.5,NR,R,L3,06.03.2022,EGN,1,3.785 mg,6,46,8.2 cm,0,0.004 g,
