group,sp,mID,mTag,trans,dist,trt,tag,side,L1,L2,L3,L4,Notes,
A,cal,1,135,home,0,NR,1429,R,0,0,0,0,20220329,
A,cal,1,135,home,0,C,1430,L,0,0,0,0,,
A,cal,1,135,T1,0.5,NR,1443,L,0,0,0,0,,
A,cal,1,135,T1,0.5,C,1444,R,0,0,0,0,,
A,cal,1,135,T1,1,C,1445,R,0,0,0,0,,
A,cal,1,135,T1,1,NR,1446,L,M,0,V,0,,
A,cal,1,135,T1,2,NR,1447,L,0,B,0,0,,
A,cal,1,135,T1,2,C,1448,R,0,0,0,0,,
A,cal,1,135,T2,0.5,NR,1449,L,M,M,M,M,,
A,cal,1,135,T2,0.5,C,1450,R,M,M,M,M,,
A,cal,1,135,T2,1,NR,1451,R,G,G,G,G,,
A,cal,1,135,T2,1,C,1452,L,M,M,M,M,,
A,cal,1,135,T2,2,C,1453,L,M,M,M,M,,
A,cal,1,135,T2,2,NR,1454,R,G,M,0,G,,
A,cal,2,138,home,0,NR,1491,R,V,0,0,0,,
A,cal,2,138,home,0,C,1492,L,0,M,M,M,,
A,cal,2,138,T1,0.5,NR,1493,R,0,0,0,0,,
A,cal,2,138,T1,0.5,C,1494,L,0,0,0,0,,
A,cal,2,138,T1,1,NR,1495,L,0,0,0,0,,
A,cal,2,138,T1,1,C,1496,R,0,M,M,M,,
A,cal,2,138,T1,2,C,1497,R,0,0,0,0,,
A,cal,2,138,T1,2,NR,1498,L,0,0,0,0,,
A,cal,2,138,T2,0.5,C,1499,L,0,0,0,0,,
A,cal,2,138,T2,0.5,NR,1500,R,0,0,0,0,,
A,cal,2,138,T2,1,NR,1501,L,0,0,0,0,,
A,cal,2,138,T2,1,C,1502,R,0,0,0,0,,
A,cal,2,138,T2,2,C,1503,R,0,M,0,0,,
A,cal,2,138,T2,2,NR,1504,L,0,0,0,0,,
A,cal,3,139,home,0,C,1427,L,M,0,0,0,,
A,cal,3,139,home,0,NR,1428,R,0,0,0,F,,
A,cal,3,139,T1,0.5,NR,1455,R,0,0,0,0,,
A,cal,3,139,T1,0.5,C,1456,L,0,0,M,0,,
A,cal,3,139,T1,1,C,1457,L,0,0,0,0,,
A,cal,3,139,T1,1,NR,1458,R,0,0,0,0,,
A,cal,3,139,T1,2,C,1459,R,0,0,0,0,,
A,cal,3,139,T1,2,NR,1460,L,G,G,G,G,,
A,cal,3,139,T2,0.5,C,1461,L,0,0,0,0,,
A,cal,3,139,T2,0.5,NR,1462,R,0,0,0,0,,
A,cal,3,139,T2,1,NR,1463,L,0,0,0,0,,
A,cal,3,139,T2,1,C,1464,R,0,0,0,0,,
A,cal,3,139,T2,2,NR,1465,L,0,0,0,0,,
A,cal,3,139,T2,2,C,1466,R,0,0,0,0,,
A,cal,4,107,home,0,C,1425,R,0,0,0,0,,
A,cal,4,107,home,0,NR,1426,L,0,0,0,0,,
group,sp,mID,mTag,trans,dist,trt,tag,side,L1,L2,L3,L4,Notes,
A,cal,4,107,T1,0.5,C,1479,R,0,0,0,0,20220329,
A,cal,4,107,T1,0.5,NR,1480,L,0,0,0,0,,
A,cal,4,107,T1,1,C,1481,R,0,0,0,0,,
A,cal,4,107,T1,1,NR,1482,L,0,0,0,0,,
A,cal,4,107,T1,2,C,1483,R,M,M,0,0,,
A,cal,4,107,T1,2,NR,1484,L,0,0,M,0,,
A,cal,4,107,T2,0.5,C,1485,L,0,0,0,0,,
A,cal,4,107,T2,0.5,NR,1486,R,0,0,0,0,,
A,cal,4,107,T2,1,NR,1487,L,0,0,0,0,,
A,cal,4,107,T2,1,C,1488,R,0,0,0,0,,
A,cal,4,107,T2,2,NR,1489,R,0,F,0,0,,
A,cal,4,107,T2,2,C,1490,L,0,0,0,0,,
A,cal,5,133,home,0,NR,1423,R,0,0,0,0,,
A,cal,5,133,home,0,C,1424,L,0,0,0,0,,
A,cal,5,133,T1,0.5,C,1467,L,G,G,G,G,,
A,cal,5,133,T1,0.5,NR,1468,R,G,0,G,0,,
A,cal,5,133,T1,1,C,1469,L,0,0,0,0,,
A,cal,5,133,T1,1,NR,1470,R,0,0,0,0,,
A,cal,5,133,T1,2,C,1471,R,0,0,0,0,,
A,cal,5,133,T1,2,NR,1472,L,0,0,0,0,,
A,cal,5,133,T2,0.5,NR,1473,R,0,0,0,0,,
A,cal,5,133,T2,0.5,C,1474,L,0,V,0,0,,
A,cal,5,133,T2,1,C,1475,R,0,0,0,0,,
A,cal,5,133,T2,1,NR,1476,L,0,0,G,0,,
A,cal,5,133,T2,2,NR,1477,R,0,0,0,0,,
A,cal,5,133,T2,2,C,1478,L,0,0,M,0,,
A,cal,6,112,home,0,NR,1421,L,0,0,0,0,,
A,cal,6,112,home,0,C,1422,R,0,0,0,0,,
A,cal,6,112,T1,0.5,C,1431,L,0,0,0,0,,
A,cal,6,112,T1,0.5,NR,1432,R,0,0,0,0,,
A,cal,6,112,T1,1,NR,1433,R,0,0,0,0,,
A,cal,6,112,T1,1,C,1434,L,0,0,0,M,,
A,cal,6,112,T1,2,NR,1435,R,0,M,0,0,,
A,cal,6,112,T1,2,C,1436,L,0,0,0,0,,
A,cal,6,112,T2,0.5,C,1437,L,0,0,0,0,,
A,cal,6,112,T2,0.5,NR,1438,R,0,0,0,0,,
A,cal,6,112,T2,1,C,1439,R,0,0,0,0,,
A,cal,6,112,T2,1,NR,1440,L,0,0,0,0,,
A,cal,6,112,T2,2,NR,1441,R,0,0,0,0,,
A,cal,6,112,T2,2,C,1442,L,0,0,0,0,,
A,fre,1,199,home,0,C,1082,R,0,0,0,0,,
A,fre,1,199,home,0,NR,1083,L,0,0,0,0,,
A,fre,1,199,T1,0.5,NR,1084,L,0,0,0,0,,
A,fre,1,199,T1,0.5,C,1085,R,0,0,0,0,,
group,sp,mID,mTag,trans,dist,trt,tag,side,L1,L2,L3,L4,Notes,
A,fre,1,199,T1,1,NR,1086,L,0,0,0,B,20220329,
A,fre,1,199,T1,1,C,1087,R,0,0,0,0,,
A,fre,1,199,T1,2,C,1088,R,0,0,0,0,,
A,fre,1,199,T1,2,NR,1089,L,0,0,V,0,,
A,fre,1,199,T2,0.5,C,1090,L,M,0,0,0,,
A,fre,1,199,T2,0.5,NR,1091,R,0,0,0,0,,
A,fre,1,199,T2,1,NR,1092,L,0,0,0,0,,
A,fre,1,199,T2,1,C,1093,R,0,M,0,0,,
A,fre,1,199,T2,2,C,1094,L,0,0,0,0,,
A,fre,1,199,T2,2,NR,1095,R,0,0,0,0,,
A,fre,2,198,home,0,NR,1096,R,0,0,0,0,,
A,fre,2,198,home,0,C,1097,L,0,0,0,0,,
A,fre,2,198,T1,0.5,NR,1101,R,0,0,0,0,,
A,fre,2,198,T1,0.5,C,1102,L,M,0,M,M,,
A,fre,2,198,T1,1,NR,1103,R,0,0,0,0,,
A,fre,2,198,T1,1,C,1104,L,0,0,M,M,,
A,fre,2,198,T1,2,NR,1105,R,0,0,0,0,,
A,fre,2,198,T1,2,C,1106,L,0,M,0,0,,
A,fre,2,198,T2,0.5,C,1107,R,0,0,0,0,,
A,fre,2,198,T2,0.5,NR,1108,L,0,0,0,0,,
